X,Y,IcePicks,Joughin,Mankoff,GrnlndcNam,Official,AltName,RefName,Count
-227532.105029246,-1978637.80679682,1,17,143,Kangilliup Sermia,Kangilliup Sermia,Rink Isbræ,Rink Isbræ,0
-256185.767287611,-1975903.17208144,2,18,142,Umiammakku Sermiat,Umiammakku Sermiat,Umiammakku Isbræ,Umiammakku Sermiat,0
-257399.040110501,-1941371.56873035,3,19,141,Salliarutsip Sermia,Salliarutsip Sermia,Inngia Isbræ,Salliarutsip Sermia,0
-298992.51445234,-1855586.97691353,4,20,137,Sermeq,Sermeq,Upernavik Isstrøm 4,Upernavik Isstrøm 4,0
-299988.020237445,-1847747.36960419,5,21,136,Sermeq,Sermeq,Upernavik Isstrøm 3,Upernavik Isstrøm 3,0
-298370.323495835,-1837418.99808357,6,22,135,Sermeq,Sermeq,Upernavik Isstrøm 2,Upernavik Isstrøm 2,0
-297872.570707602,-1826095.12085714,7,23,134,Sermeq,Sermeq,Upernavik Isstrøm 1,Upernavik Isstrøm 1,0
-310241.729417079,-1826343.9971939,8,24,133,,,,,0
-316886.730207759,-1821490.9069027,9,0,None,0,0,0,0,0
-320918.528522622,-1807304.95076803,10,0,None,0,0,0,0,0
-320470.551000738,-1799390.68051724,11,25,132,Naajarsuit Sermiat,Naajarsuit Sermiat,Nunatakassaap Sermia,Nunatakassaap Sermia,0
-314945.494296845,-1784234.10637926,12,26,130,,,,,0
-320893.641110111,-1775274.55509212,13,27,129,Kakiffaat Sermiat A,,Kakivfait Sermia A,Kakivfait Sermia A,0
-323755.72012069,-1771043.65587086,14,28,129,Kakiffaat Sermiat B,,Kakivfait Sermia B,Kakivfait Sermia B,0
-325902.279443596,-1758895.37542343,15,29,127,Qeqertarsuup Sermia,Qeqertarsuup Sermia,Qeqertarssup Sermia,Qeqertarsuup Sermia,0
-323289.077070395,-1734256.60946627,16,30,126,Sermeq Kujalleq,Sermeq Kujalleq,Ussingbraer A,Ussingbraer A,0
-323289.077173227,-1719604.00998496,17,31,123,Sermeq Avanarleq,Sermeq Avanarleq,Ussingbraer B,Ussingbraer B,0
-329542.097772077,-1689738.8389823,18,32,119,Ikissuup Sermersua,Ikissuup Sermersua,Cornell Gletsjer,Cornell Gletsjer,0
-328702.13988127,-1679379.3577989,19,33,None,,,Cornell Gletsjer B,Cornell Gletsjer B,0
-324315.692815786,-1668273.24735743,20,34,117,Illullip Sermia,Illullip Sermia,Igdlugdlip Sermia,Illullip Sermia,0
-321142.518429865,-1646994.31300826,21,35,115,Nunatakassaap Sermia,Nunatakassaap Sermia,Alison Glacier,Nunatakassaap Sermia,0
-325248.979673836,-1634021.62929398,22,36,112,,,,,0
-329355.440906557,-1622915.51876398,23,37,104,,,,,0
-334488.517421952,-1613022.68079662,24,38,103,,,,,0
-337568.363328892,-1607516.2898484,25,39,103,,,Hayes Gletsjer B,Hayes Gletsjer B,0
-342328.125158037,-1603036.51414476,26,40,103,Tuttulikassaap Sermia,Tuttulikassaap Sermia,Hayes Gletsjer,Hayes Gletsjer,0
-353627.789060218,-1590803.59164487,27,41,99,,,,Kjer Gletsjer B,0
-354927.494795083,-1578948.38694025,28,42,95,,Kjer Gletsjer,,Kjer Gletsjer,0
-355300.809492042,-1572452.71220398,29,43,None,,,,,0
-356047.438875737,-1560879.95835687,30,44,94,Sermersuaq,Sermersuaq,Steenstrup Gletsjer,Steenstrup Gletsjer,0
-354479.517451422,-1545051.41761669,31,45,93,,Dietrichson Gletsjer,Dietrichson Gletscher,Dietrichson Gletsjer,0
-354255.528786255,-1526833.66315093,32,46,91,,Sverdrup Gletsjer,Sverdrup Brae,Sverdrup Gletsjer,0
-360228.563332354,-1508839.8974087,33,0,89,0,0,0,0,0
-370905.362387926,-1505330.73970573,34,47,79,,Nansen Gletsjer,Nansen Gletscher,Nansen Gletsjer,0
-372174.632272541,-1495475.23316257,35,48,79,,Nordenskiöld Gletsjer,,Nordenskiöld Gletsjer,0
-374339.857300312,-1488531.58081316,36,49,79,,,,,0
-379574.07224397,-1480819.76695635,37,0,78,0,0,0,0,0
-379798.061056726,-1477758.58689141,38,50,77,,,,,0
-385987.274544812,-1472255.0623454,39,51,73,Nuussuup Sermia,Nuussuup Sermia,Kong Oscar Gletsjer,Kong Oscar Gletsjer,0
-389795.084042289,-1465162.08411844,40,52,72,,,,,0
-393752.219376443,-1461428.93766784,41,53,72,,,,,0
-407639.524423102,-1460308.99363798,42,54,71,Issuusarsuit Sermiat,Issuusarsuit Sermiat,Peary Gletscher,Peary Gletscher,0
-404130.366814395,-1444779.10454155,43,55,67,,,,,0
-409580.760763695,-1440075.34000446,44,56,66,,Rink Gletsjer,Rink Gletscher,Rink Gletsjer,0
-418689.638277827,-1438208.76672234,45,0,None,0,0,0,0,0
-422198.796030561,-1434624.94612576,46,57,64,,,,,0
-429814.414944805,-1431862.41771052,47,58,63,Qeqertat Timaanni Sermeq,Qeqertat Timaanni Sermeq,Döcker Smith Gletsjer,Döcker Smith Gletsjer,0
-432576.943393544,-1428427.92297532,48,59,63,,,Döcker Smith Gletsjer C,Döcker Smith Gletsjer C,0
-433174.246878301,-1423052.19211344,49,60,62,,,Döcker Smith Gletsjer B,Döcker Smith Gletsjer B,0
-434891.494301018,-1419841.68617065,50,0,61,0,0,0,0,0
-448181.495886598,-1421260.28170789,51,61,60,,Morell Gletsjer,Morell Gletsjer,Morell Gletsjer,0
-453407.901081852,-1412226.06730476,52,62,59,Innaqqissorsuup Oqquani Sermeq,Innaqqissorsuup Oqquani Sermeq,Gade Gletsjer,Gade Gletsjer,0
-458634.306257692,-1405655.72954266,53,0,None,0,0,0,0,0
-466473.913982759,-1400578.65032977,54,63,55,,,,,0
-471924.307882862,-1402071.90885728,55,64,57,,,,,0
-485811.612912632,-1402669.21216787,56,65,54,,Yngvar Nielsen Gletsjer,Yngvar Nielsen Gletsjer,,0
-491560.65857957,-1398637.41397084,57,66,53,,,,,0
-500296.221369326,-1404535.78525632,58,67,58,,,,,0
-510077.065157113,-1412823.37024351,59,68,None,,Helland Gletsjer,Helland Gletsjer,,0
-520380.549564341,-1409015.56078996,60,69,None,Savissuup Sermia,Savissuup Sermia,Savigssuaq Gletscher,,0
-520679.201445066,-1391768.42427256,61,70,52,,,,,0
-533931.871593026,-1388545.47439475,62,0,50,0,0,0,0,0
-552659.823325451,-1381452.49599065,63,71,48,,,,,0
-565912.49339764,-1385372.29961614,64,72,None,,,,,0
-575494.236082687,-1387487.74916531,65,73,49,,,,,0
-603243.958628867,-1370937.46635406,66,74,None,Paakitsup Sermersua,Paakitsup Sermersua,Pituffik Gletsjer,,0
-562723.764465774,-1346664.23752544,67,75,46,Ullip Sermia,Ullip Sermia,Harald Moltke Bræ,,0
-561868.251870858,-1331265.00845829,68,76,None,Equutissaatsut Sermiat,Equutissaatsut Sermiat,Knud Rasmussen Gletsjer,,0
-573845.430299051,-1327842.95743604,69,77,None,Naajat Sermiat,Naajat Sermiat,Chamberlin Gletsjer,,0
-586833.669605365,-1286879.45243316,70,78,None,,,Berlingske Glacier,,0
-498194.77193957,-1292121.41303378,71,79,None,,Leidy Gletsjer,Leidy Gletsjer,,0
-483884.377145512,-1266456.03126902,72,80,40,Qaqujaarsuup Sermia,Qaqujaarsuup Sermia,Heilprin Gletsjer,,0
-481084.517353782,-1253467.79256932,73,81,39,Qeqertaarsuusarsuup Sermia,Qeqertaarsuusarsuup Sermia,Tracy Gletsjer,,0
-483962.15119449,-1245457.08243352,74,82,38,Tuttulipaluup Sermia,Tuttulipaluup Sermia,Farquhar Gletsjer,,0
-504650.004892937,-1239546.26704014,75,83,None,Paarnarsuit Sermiat,Paarnarsuit Sermiat,Hart Gletsjer,,0
-524249.024059726,-1248645.81137839,76,84,None,Quinisut Sermiat,Quinisut Sermiat,Hubbard Gletsjer,,0
-535156.719727919,-1226207.77291039,77,85,35,Kangerluarsuup Sermia,Kangerluarsuup Sermia,Bowdoin Gletsjer,,0
-554885.518777377,-1198527.06053479,78,86,None,Qinnguata Sermia,Qinnguata Sermia,Verhoeff Gletsjer,,0
-577734.688978318,-1181516.00445643,79,87,34,Neqip Sermia,Neqip Sermia,Morris Jesup Gletsjer,,0
-584780.688641718,-1171450.29085044,80,88,33,Arfalluarfiup Sermia,Arfalluarfiup Sermia,Diebitsch Gletsjer,,0
-585729.281504603,-1169730.20551653,81,88,32,Arfalluarfiup Sermia,Arfalluarfiup Sermia,Diebitsch Gletsjer,,0
-593568.889196736,-1169823.53410915,82,89,None,Arfalluarfiup Sermia,Arfalluarfiup Sermia,Clements Markham Gletsjer,,0
-593848.875283985,-1158717.42335096,83,90,None,,Bamse Gletsjer,Bamse Brae,,0
-596010.989479107,-1139483.94159751,84,91,None,,Dodge Gletsjer,Dodge Gletscher,,0
-364073.706926138,-1059423.50583402,85,92,28,Sermersuaq,Sermersuaq,Humboldt Gletsjer,,0
-275427.03169094,-945850.301230767,86,93,27,,Petermann Gletsjer,Petermann Gletscher,,0
-199336.443991678,-923167.462657982,87,94,None,,,Newman Bugt,,0
-150179.96488062,-914585.199491931,88,95,12,,Steensby Gletsjer,Steensby Gletscher,,0
-90014.0861963877,-919632.724764289,89,96,22/23,,,Ryder Gletsjer,,0
-86234.1824518681,-890304.235158107,90,97,10,,Ryder Gletsjer,,,0
-2611.94494773371,-914009.735310926,91,98,11,,C.H. Ostenfeld Gletsjer,C.H.Ostenfeld Gletscher,,0
-5877.87611305116,-888811.266683099,92,99,6,,Harder Gletsjer,Brikkerne Glacier,,0
34719.2682412876,-854652.986954192,93,100,None,,Jungersen Gletsjer,,,0
43212.0892555583,-827213.565523447,94,101,None,,,,,0
65354.622568866,-836208.375853365,95,210,None,,Ekspedition Bræ,Henson Gletsjer,,0
71304.4971668345,-836908.361089532,96,102,None,,Adams Gletsjer,Henson Gletscher,,0
184745.106154776,-872058.619749708,97,103,4,,Marie Sophie Gletsjer,,,0
198371.818900191,-889604.24973507,98,104,7,,Academy Gletsjer,,,0
275274.197958491,-889231.257390975,99,105,5,,Hagen Bræ,,,0
466341.169635333,-1014559.61331655,100,106,29,,Spaltegletsjer,,,0
473108.026874898,-1030192.28352947,101,211,29,,,,,0
491540.637798589,-1098671.8388247,102,107,31,,Zachariae Isstrøm,,,0
535331.71329258,-1246617.71683933,103,108,None,,Kofoed-Hansen Bræ,,,0
553997.319050008,-1316510.24157994,104,213,None,,,,,0
556694.261991443,-1336005.83005298,105,109,None,,Bredebræ,Storstrømmen,,0
562708.13498984,-1354049.44912349,106,214,None,,,,,0
590188.55515673,-1380802.88409233,107,110,None,,Soranerbræen,,,0
602114.302988555,-1440637.62073103,108,237,None,,Stormgletsjer,Ejnar Mikkelsen Gletsjer,,0
618186.96339364,-1491864.53888566,109,111,None,,Heinkel Gletsjer,,,0
624667.824783281,-1646209.27888399,110,112,114,,Waltershausen Gletsjer,,,0
572507.925060214,-1653053.13495064,111,113,116,,Nunatakgletsjer,Adolf Hoel Gletscher,,0
548138.438468399,-1710916.91272977,112,114,120,,Gerard de Geer Gletsjer,,,0
542331.560848378,-1721390.69149328,113,115,124,,Jættegletsjer,,,0
544509.514465888,-1758099.91576911,114,116,128,,Nordenskiöld Gletsjer,,,0
562968.12469811,-1785476.33699638,115,117,131,,Hisinger Gletsjer,,,0
547060.459226562,-1872728.49296767,116,118,138,,,F. Graae Gletscher,,0
542393.55756371,-1883202.27161143,117,119,139,,,Charcot Gletscher,,0
556808.253226236,-1897511.96890548,118,120,140,,Daugaard-Jensen Gletsjer,,,0
608709.156027142,-2034861.06373066,119,122,150,,Rolige Bræ,,,0
